game,timestamp,win_rate_p0,win_rate_p1,draw_rate,games_per_sec,loss,memory_size,epsilon
100,2026-05-02T21:08:16.708882,23.0,63.0,14.000000000000002,3.377211516657923,4.525966167449951,3775,1.0
200,2026-05-02T21:08:44.673149,25.5,60.5,14.000000000000002,3.4737605544011543,5.170358657836914,7343,1.0
300,2026-05-02T21:09:17.592901,25.333333333333336,59.333333333333336,15.333333333333332,3.315127929252362,3.8980917930603027,11604,1.0
400,2026-05-02T21:09:48.750596,25.0,59.25,15.75,3.2880694856855657,4.132297515869141,15620,1.0
500,2026-05-02T21:10:21.828123,23.799999999999997,61.199999999999996,15.0,3.2314465317961316,3.542634963989258,19873,1.0
600,2026-05-02T21:11:05.145971,24.333333333333336,60.0,15.666666666666668,3.0295790953429607,3.1978213787078857,20000,1.0
700,2026-05-02T21:11:39.677124,24.0,60.71428571428571,15.285714285714286,3.0097368951552594,3.847568988800049,20000,1.0
800,2026-05-02T21:12:09.026508,23.875,61.5,14.625,3.054276181100127,3.615200996398926,20000,1.0
900,2026-05-02T21:12:41.208804,23.77777777777778,62.0,14.222222222222221,3.060078020205348,3.780698776245117,20000,1.0
1000,2026-05-02T21:13:15.224311,23.5,61.9,14.6,3.047613084177627,3.0944223403930664,20000,1.0
